Año,Trimestre,Provincia,Accesos por cada 100 hogares
2022,1,corrientes,47.64
2022,1,entre ríos,63.7
2022,1,formosa,34.96
2022,1,jujuy,58.06
2022,1,la pampa,91.66
2022,1,la rioja,78.77
2022,1,mendoza,48.74
2022,1,misiones,49.04
2022,1,neuquén,74.17
2022,1,río negro,67.04
2022,1,salta,56.11
2022,1,san juan,43.55
2022,1,san luis,80.72
2022,1,santa cruz,43.34
2022,1,santa fe,77.3
2022,1,santiago del estero,47.17
2022,1,tierra del fuego,98.29
2022,1,tucumán,57.39
2021,4,buenos aires,75.66
2021,4,capital federal,78.6
2021,4,catamarca,55.25
2021,4,chaco,44.05
2021,4,chubut,82.57
2021,4,córdoba,84.51
2021,4,corrientes,45.51
2021,4,entre ríos,63.16
2021,4,formosa,34.45
2021,4,jujuy,56.92
2021,4,la pampa,89.57
2021,4,la rioja,77.92
2021,4,mendoza,47.51
2021,4,misiones,49.06
2021,4,neuquén,73.3
2021,4,río negro,65.69
2021,4,salta,56.81
2021,4,san juan,39.59
2021,4,san luis,80.3
2021,4,santa cruz,43.05
2021,4,santa fe,77.09
2021,4,santiago del estero,47.05
2021,4,tierra del fuego,98.4
2021,4,tucumán,55.93
2021,3,buenos aires,71.68
2021,3,capital federal,78.6
2021,3,catamarca,52.71
2021,3,chaco,42.96
2021,3,chubut,80.71
2021,3,córdoba,81.28
2021,3,corrientes,44.9
2021,3,entre ríos,62.18
2021,3,formosa,33.96
2021,3,jujuy,55.69
2021,3,la pampa,84.28
2021,3,la rioja,77.26
2021,3,mendoza,45.55
2021,3,misiones,45.57
2021,3,neuquén,69.71
2021,3,río negro,61.97
2021,3,salta,55.96
2021,3,san juan,39.46
2021,3,san luis,79.87
2021,3,santa cruz,43.75
2021,3,santa fe,75.02
2021,3,santiago del estero,47.0
2021,3,tierra del fuego,94.95
2021,3,tucumán,54.64
2021,2,buenos aires,70.0
2021,2,capital federal,77.47
2021,2,catamarca,52.34
2021,2,chaco,43.33
2021,2,chubut,72.29
2021,2,córdoba,80.12
2021,2,corrientes,43.54
2021,2,entre ríos,61.66
2021,2,formosa,33.23
2021,2,jujuy,56.18
2021,2,la pampa,82.08
2021,2,la rioja,76.98
2021,2,mendoza,40.97
2021,2,misiones,45.01
2021,2,neuquén,69.14
2021,2,río negro,61.94
2021,2,salta,54.93
2021,2,san juan,39.28
2021,2,san luis,83.48
2021,2,santa cruz,44.01
2021,2,santa fe,75.07
2021,2,santiago del estero,46.56
2021,2,tierra del fuego,67.89
2021,2,tucumán,54.93
2021,1,buenos aires,69.11
2021,1,capital federal,75.75
2021,1,catamarca,48.9
2021,1,chaco,43.14
2021,1,chubut,68.99
2021,1,córdoba,78.59
2021,1,corrientes,42.66
2021,1,entre ríos,60.44
2021,1,formosa,32.73
2021,1,jujuy,55.63
2021,1,la pampa,81.78
2021,1,la rioja,49.81
2021,1,mendoza,39.15
2021,1,misiones,43.17
2021,1,neuquén,66.84
2021,1,río negro,60.88
2021,1,salta,53.93
2021,1,san juan,39.06
2021,1,san luis,81.24
2021,1,santa cruz,41.65
2021,1,santa fe,73.92
2021,1,santiago del estero,45.67
2021,1,tierra del fuego,77.35
2021,1,tucumán,54.82
2020,4,buenos aires,68.98
2020,4,capital federal,75.64
2020,4,catamarca,49.41
2020,4,chaco,43.03
2020,4,chubut,68.35
2020,4,córdoba,78.08
2020,4,corrientes,42.43
2020,4,entre ríos,59.47
2020,4,formosa,32.49
2020,4,jujuy,53.46
2020,4,la pampa,81.77
2020,4,la rioja,50.11
2020,4,mendoza,38.63
2020,4,misiones,42.64
2020,4,neuquén,67.0
2020,4,río negro,61.09
2020,4,salta,54.04
2020,4,san juan,36.32
2020,4,san luis,81.68
2020,4,santa cruz,37.0
2020,4,santa fe,73.58
2020,4,santiago del estero,43.75
2020,4,tierra del fuego,76.27
2020,4,tucumán,54.78
2020,3,buenos aires,67.66
2020,3,capital federal,75.01
